,num_topics,decay,gamma_threshold,minimum_probability,offset,iterations,score
0,25,0.7988959434729821,0.0738123883248774,0.19649879077896718,1.813458627272393,96,0.3379560859866195
1,5,0.5649047390921704,0.0023341526664343334,0.01964987907789672,1.282308892745557,30,0.3716558885986486
2,12,0.950052740124882,0.013125905036392698,0.6213837363304282,1.5249308588842774,17,0.36664123523003217
3,52,0.6717887350271649,0.41507756266076207,0.06213837363304282,1.0782889511576987,54,0.4899040988986641
4,75,0.5180199297730002,0.005535148258182418,0.34942975373978347,1.6629488933931775,72,0.6480858386238502
5,17,0.7325908102645351,0.1750367568257016,0.03494297537397835,1.175882439284981,23,0.3767425317898766
6,8,0.8712022039521935,0.9843040179038592,0.011049939040494556,1.977590655909068,40,0.410291647522425
7,36,0.6160329861992617,0.031126426066313537,0.11049939040494555,1.3983677632044544,13,0.6340536326450018
8,43,0.9921151684357393,0.6391889491134285,0.04659720656475537,1.3390815576677118,15,0.37425561341409674
9,10,0.7015313633189451,0.020212929344079,0.46597206564755367,1.8937472999773675,47,0.36605818699267434
10,43,0.5584522030561995,0.007118586929586322,0.08840437608331014,1.6901616966047577,16,0.6291016612331567
11,90,0.5562738317101927,0.004047389357441827,0.011346327173999124,1.8041116964098798,10,0.6220270112855912
12,50,0.5675542283373551,0.029292291397018333,0.5297274405196234,1.3077604909603822,25,0.6089038283043506
13,100,0.5,0.31962799421738003,0.018816807136054478,1.5092137485807975,48,0.6183967471113426
14,34,0.5,0.0029806328663657647,0.01,2.0,10,0.6407158538427187
15,40,0.5,0.24331448931984404,0.01901859794938454,1.6989361060896502,100,0.6424142765067394
16,24,0.5688443837401355,1.0,1.0,1.0,100,0.32941105936708076
17,100,0.6249968751743218,0.001,1.0,1.4191976672676114,100,0.6246595852132498
18,100,0.5,0.5122784147999343,1.0,2.0,100,0.6289760769305875
19,100,0.6244338323721695,0.001,0.01,1.0,10,0.5209927060740909
20,54,0.5847335728145608,0.001,0.01,1.4689996776067842,10,0.6380342237281853
21,60,0.5,0.0019745214523788986,1.0,1.809869090405766,10,0.6517409160737454
22,5,0.5,0.013731933948737465,0.1448890203283727,2.0,20,0.4047674153034352
23,54,0.5,1.0,0.01,2.0,100,0.5783507218835654
24,38,0.5,1.0,0.6658898756214663,1.0,10,0.43229833560444125
25,39,0.5,0.001,1.0,1.7003781655610153,10,0.6381572579553192
26,49,0.572161535422219,0.08266533729253343,0.384101010354084,1.4964310449687608,30,0.6529557216435725
27,100,0.5,0.001,1.0,2.0,100,0.6309939265766016
28,100,0.5,0.001,0.01,2.0,10,0.6291207617724188
29,55,0.5,0.001,0.07986892000646154,1.6361454428493352,100,0.6639497785727511
30,21,0.5,1.0,0.0104765173497779,2.0,100,0.35571504844141966
31,43,0.5,0.03890795619290395,1.0,1.5200618100875385,100,0.6232048401269861
